config_id,part_id,architecture,dropout,batch_size,dense_units,epochs,learning_rate,image_width,image_height
base_cnn_drop_0p2_batch_16_dense_16,1,base_cnn,0.2,16,16,50,0.0001,640,640
base_cnn_drop_0p2_batch_16_dense_32,2,base_cnn,0.2,16,32,50,0.0001,640,640
base_cnn_drop_0p2_batch_16_dense_64,3,base_cnn,0.2,16,64,50,0.0001,640,640
base_cnn_drop_0p2_batch_32_dense_16,1,base_cnn,0.2,32,16,50,0.0001,640,640
base_cnn_drop_0p2_batch_32_dense_32,2,base_cnn,0.2,32,32,50,0.0001,640,640
base_cnn_drop_0p2_batch_32_dense_64,3,base_cnn,0.2,32,64,50,0.0001,640,640
base_cnn_drop_0p2_batch_64_dense_16,1,base_cnn,0.2,64,16,50,0.0001,640,640
base_cnn_drop_0p2_batch_64_dense_32,2,base_cnn,0.2,64,32,50,0.0001,640,640
base_cnn_drop_0p2_batch_64_dense_64,3,base_cnn,0.2,64,64,50,0.0001,640,640
base_cnn_drop_0p2_batch_128_dense_16,1,base_cnn,0.2,128,16,50,0.0001,640,640
base_cnn_drop_0p2_batch_128_dense_32,2,base_cnn,0.2,128,32,50,0.0001,640,640
base_cnn_drop_0p2_batch_128_dense_64,3,base_cnn,0.2,128,64,50,0.0001,640,640
base_cnn_drop_0p5_batch_16_dense_16,1,base_cnn,0.5,16,16,50,0.0001,640,640
base_cnn_drop_0p5_batch_16_dense_32,2,base_cnn,0.5,16,32,50,0.0001,640,640
base_cnn_drop_0p5_batch_16_dense_64,3,base_cnn,0.5,16,64,50,0.0001,640,640
base_cnn_drop_0p5_batch_32_dense_16,1,base_cnn,0.5,32,16,50,0.0001,640,640
base_cnn_drop_0p5_batch_32_dense_32,2,base_cnn,0.5,32,32,50,0.0001,640,640
base_cnn_drop_0p5_batch_32_dense_64,3,base_cnn,0.5,32,64,50,0.0001,640,640
base_cnn_drop_0p5_batch_64_dense_16,1,base_cnn,0.5,64,16,50,0.0001,640,640
base_cnn_drop_0p5_batch_64_dense_32,2,base_cnn,0.5,64,32,50,0.0001,640,640
base_cnn_drop_0p5_batch_64_dense_64,3,base_cnn,0.5,64,64,50,0.0001,640,640
base_cnn_drop_0p5_batch_128_dense_16,1,base_cnn,0.5,128,16,50,0.0001,640,640
base_cnn_drop_0p5_batch_128_dense_32,2,base_cnn,0.5,128,32,50,0.0001,640,640
base_cnn_drop_0p5_batch_128_dense_64,3,base_cnn,0.5,128,64,50,0.0001,640,640
base_cnn_drop_0p7_batch_16_dense_16,1,base_cnn,0.7,16,16,50,0.0001,640,640
base_cnn_drop_0p7_batch_16_dense_32,2,base_cnn,0.7,16,32,50,0.0001,640,640
base_cnn_drop_0p7_batch_16_dense_64,3,base_cnn,0.7,16,64,50,0.0001,640,640
base_cnn_drop_0p7_batch_32_dense_16,1,base_cnn,0.7,32,16,50,0.0001,640,640
base_cnn_drop_0p7_batch_32_dense_32,2,base_cnn,0.7,32,32,50,0.0001,640,640
base_cnn_drop_0p7_batch_32_dense_64,3,base_cnn,0.7,32,64,50,0.0001,640,640
base_cnn_drop_0p7_batch_64_dense_16,1,base_cnn,0.7,64,16,50,0.0001,640,640
base_cnn_drop_0p7_batch_64_dense_32,2,base_cnn,0.7,64,32,50,0.0001,640,640
base_cnn_drop_0p7_batch_64_dense_64,3,base_cnn,0.7,64,64,50,0.0001,640,640
base_cnn_drop_0p7_batch_128_dense_16,1,base_cnn,0.7,128,16,50,0.0001,640,640
base_cnn_drop_0p7_batch_128_dense_32,2,base_cnn,0.7,128,32,50,0.0001,640,640
base_cnn_drop_0p7_batch_128_dense_64,3,base_cnn,0.7,128,64,50,0.0001,640,640
vgg16_drop_0p2_batch_16_dense_16,1,vgg16,0.2,16,16,50,0.0001,640,640
vgg16_drop_0p2_batch_16_dense_32,2,vgg16,0.2,16,32,50,0.0001,640,640
vgg16_drop_0p2_batch_16_dense_64,3,vgg16,0.2,16,64,50,0.0001,640,640
vgg16_drop_0p2_batch_32_dense_16,1,vgg16,0.2,32,16,50,0.0001,640,640
vgg16_drop_0p2_batch_32_dense_32,2,vgg16,0.2,32,32,50,0.0001,640,640
vgg16_drop_0p2_batch_32_dense_64,3,vgg16,0.2,32,64,50,0.0001,640,640
vgg16_drop_0p2_batch_64_dense_16,1,vgg16,0.2,64,16,50,0.0001,640,640
vgg16_drop_0p2_batch_64_dense_32,2,vgg16,0.2,64,32,50,0.0001,640,640
vgg16_drop_0p2_batch_64_dense_64,3,vgg16,0.2,64,64,50,0.0001,640,640
vgg16_drop_0p2_batch_128_dense_16,1,vgg16,0.2,128,16,50,0.0001,640,640
vgg16_drop_0p2_batch_128_dense_32,2,vgg16,0.2,128,32,50,0.0001,640,640
vgg16_drop_0p2_batch_128_dense_64,3,vgg16,0.2,128,64,50,0.0001,640,640
vgg16_drop_0p5_batch_16_dense_16,1,vgg16,0.5,16,16,50,0.0001,640,640
vgg16_drop_0p5_batch_16_dense_32,2,vgg16,0.5,16,32,50,0.0001,640,640
vgg16_drop_0p5_batch_16_dense_64,3,vgg16,0.5,16,64,50,0.0001,640,640
vgg16_drop_0p5_batch_32_dense_16,1,vgg16,0.5,32,16,50,0.0001,640,640
vgg16_drop_0p5_batch_32_dense_32,2,vgg16,0.5,32,32,50,0.0001,640,640
vgg16_drop_0p5_batch_32_dense_64,3,vgg16,0.5,32,64,50,0.0001,640,640
vgg16_drop_0p5_batch_64_dense_16,1,vgg16,0.5,64,16,50,0.0001,640,640
vgg16_drop_0p5_batch_64_dense_32,2,vgg16,0.5,64,32,50,0.0001,640,640
vgg16_drop_0p5_batch_64_dense_64,3,vgg16,0.5,64,64,50,0.0001,640,640
vgg16_drop_0p5_batch_128_dense_16,1,vgg16,0.5,128,16,50,0.0001,640,640
vgg16_drop_0p5_batch_128_dense_32,2,vgg16,0.5,128,32,50,0.0001,640,640
vgg16_drop_0p5_batch_128_dense_64,3,vgg16,0.5,128,64,50,0.0001,640,640
vgg16_drop_0p7_batch_16_dense_16,1,vgg16,0.7,16,16,50,0.0001,640,640
vgg16_drop_0p7_batch_16_dense_32,2,vgg16,0.7,16,32,50,0.0001,640,640
vgg16_drop_0p7_batch_16_dense_64,3,vgg16,0.7,16,64,50,0.0001,640,640
vgg16_drop_0p7_batch_32_dense_16,1,vgg16,0.7,32,16,50,0.0001,640,640
vgg16_drop_0p7_batch_32_dense_32,2,vgg16,0.7,32,32,50,0.0001,640,640
vgg16_drop_0p7_batch_32_dense_64,3,vgg16,0.7,32,64,50,0.0001,640,640
vgg16_drop_0p7_batch_64_dense_16,1,vgg16,0.7,64,16,50,0.0001,640,640
vgg16_drop_0p7_batch_64_dense_32,2,vgg16,0.7,64,32,50,0.0001,640,640
vgg16_drop_0p7_batch_64_dense_64,3,vgg16,0.7,64,64,50,0.0001,640,640
vgg16_drop_0p7_batch_128_dense_16,1,vgg16,0.7,128,16,50,0.0001,640,640
vgg16_drop_0p7_batch_128_dense_32,2,vgg16,0.7,128,32,50,0.0001,640,640
vgg16_drop_0p7_batch_128_dense_64,3,vgg16,0.7,128,64,50,0.0001,640,640
resnet34_drop_0p2_batch_16_dense_16,1,resnet34,0.2,16,16,50,0.0001,640,640
resnet34_drop_0p2_batch_16_dense_32,2,resnet34,0.2,16,32,50,0.0001,640,640
resnet34_drop_0p2_batch_16_dense_64,3,resnet34,0.2,16,64,50,0.0001,640,640
resnet34_drop_0p2_batch_32_dense_16,1,resnet34,0.2,32,16,50,0.0001,640,640
resnet34_drop_0p2_batch_32_dense_32,2,resnet34,0.2,32,32,50,0.0001,640,640
resnet34_drop_0p2_batch_32_dense_64,3,resnet34,0.2,32,64,50,0.0001,640,640
resnet34_drop_0p2_batch_64_dense_16,1,resnet34,0.2,64,16,50,0.0001,640,640
resnet34_drop_0p2_batch_64_dense_32,2,resnet34,0.2,64,32,50,0.0001,640,640
resnet34_drop_0p2_batch_64_dense_64,3,resnet34,0.2,64,64,50,0.0001,640,640
resnet34_drop_0p2_batch_128_dense_16,1,resnet34,0.2,128,16,50,0.0001,640,640
resnet34_drop_0p2_batch_128_dense_32,2,resnet34,0.2,128,32,50,0.0001,640,640
resnet34_drop_0p2_batch_128_dense_64,3,resnet34,0.2,128,64,50,0.0001,640,640
resnet34_drop_0p5_batch_16_dense_16,1,resnet34,0.5,16,16,50,0.0001,640,640
resnet34_drop_0p5_batch_16_dense_32,2,resnet34,0.5,16,32,50,0.0001,640,640
resnet34_drop_0p5_batch_16_dense_64,3,resnet34,0.5,16,64,50,0.0001,640,640
resnet34_drop_0p5_batch_32_dense_16,1,resnet34,0.5,32,16,50,0.0001,640,640
resnet34_drop_0p5_batch_32_dense_32,2,resnet34,0.5,32,32,50,0.0001,640,640
resnet34_drop_0p5_batch_32_dense_64,3,resnet34,0.5,32,64,50,0.0001,640,640
resnet34_drop_0p5_batch_64_dense_16,1,resnet34,0.5,64,16,50,0.0001,640,640
resnet34_drop_0p5_batch_64_dense_32,2,resnet34,0.5,64,32,50,0.0001,640,640
resnet34_drop_0p5_batch_64_dense_64,3,resnet34,0.5,64,64,50,0.0001,640,640
resnet34_drop_0p5_batch_128_dense_16,1,resnet34,0.5,128,16,50,0.0001,640,640
resnet34_drop_0p5_batch_128_dense_32,2,resnet34,0.5,128,32,50,0.0001,640,640
resnet34_drop_0p5_batch_128_dense_64,3,resnet34,0.5,128,64,50,0.0001,640,640
resnet34_drop_0p7_batch_16_dense_16,1,resnet34,0.7,16,16,50,0.0001,640,640
resnet34_drop_0p7_batch_16_dense_32,2,resnet34,0.7,16,32,50,0.0001,640,640
resnet34_drop_0p7_batch_16_dense_64,3,resnet34,0.7,16,64,50,0.0001,640,640
resnet34_drop_0p7_batch_32_dense_16,1,resnet34,0.7,32,16,50,0.0001,640,640
resnet34_drop_0p7_batch_32_dense_32,2,resnet34,0.7,32,32,50,0.0001,640,640
resnet34_drop_0p7_batch_32_dense_64,3,resnet34,0.7,32,64,50,0.0001,640,640
resnet34_drop_0p7_batch_64_dense_16,1,resnet34,0.7,64,16,50,0.0001,640,640
resnet34_drop_0p7_batch_64_dense_32,2,resnet34,0.7,64,32,50,0.0001,640,640
resnet34_drop_0p7_batch_64_dense_64,3,resnet34,0.7,64,64,50,0.0001,640,640
resnet34_drop_0p7_batch_128_dense_16,1,resnet34,0.7,128,16,50,0.0001,640,640
resnet34_drop_0p7_batch_128_dense_32,2,resnet34,0.7,128,32,50,0.0001,640,640
resnet34_drop_0p7_batch_128_dense_64,3,resnet34,0.7,128,64,50,0.0001,640,640
densenet121_drop_0p2_batch_16_dense_16,1,densenet121,0.2,16,16,50,0.0001,640,640
densenet121_drop_0p2_batch_16_dense_32,2,densenet121,0.2,16,32,50,0.0001,640,640
densenet121_drop_0p2_batch_16_dense_64,3,densenet121,0.2,16,64,50,0.0001,640,640
densenet121_drop_0p2_batch_32_dense_16,1,densenet121,0.2,32,16,50,0.0001,640,640
densenet121_drop_0p2_batch_32_dense_32,2,densenet121,0.2,32,32,50,0.0001,640,640
densenet121_drop_0p2_batch_32_dense_64,3,densenet121,0.2,32,64,50,0.0001,640,640
densenet121_drop_0p2_batch_64_dense_16,1,densenet121,0.2,64,16,50,0.0001,640,640
densenet121_drop_0p2_batch_64_dense_32,2,densenet121,0.2,64,32,50,0.0001,640,640
densenet121_drop_0p2_batch_64_dense_64,3,densenet121,0.2,64,64,50,0.0001,640,640
densenet121_drop_0p2_batch_128_dense_16,1,densenet121,0.2,128,16,50,0.0001,640,640
densenet121_drop_0p2_batch_128_dense_32,2,densenet121,0.2,128,32,50,0.0001,640,640
densenet121_drop_0p2_batch_128_dense_64,3,densenet121,0.2,128,64,50,0.0001,640,640
densenet121_drop_0p5_batch_16_dense_16,1,densenet121,0.5,16,16,50,0.0001,640,640
densenet121_drop_0p5_batch_16_dense_32,2,densenet121,0.5,16,32,50,0.0001,640,640
densenet121_drop_0p5_batch_16_dense_64,3,densenet121,0.5,16,64,50,0.0001,640,640
densenet121_drop_0p5_batch_32_dense_16,1,densenet121,0.5,32,16,50,0.0001,640,640
densenet121_drop_0p5_batch_32_dense_32,2,densenet121,0.5,32,32,50,0.0001,640,640
densenet121_drop_0p5_batch_32_dense_64,3,densenet121,0.5,32,64,50,0.0001,640,640
densenet121_drop_0p5_batch_64_dense_16,1,densenet121,0.5,64,16,50,0.0001,640,640
densenet121_drop_0p5_batch_64_dense_32,2,densenet121,0.5,64,32,50,0.0001,640,640
densenet121_drop_0p5_batch_64_dense_64,3,densenet121,0.5,64,64,50,0.0001,640,640
densenet121_drop_0p5_batch_128_dense_16,1,densenet121,0.5,128,16,50,0.0001,640,640
densenet121_drop_0p5_batch_128_dense_32,2,densenet121,0.5,128,32,50,0.0001,640,640
densenet121_drop_0p5_batch_128_dense_64,3,densenet121,0.5,128,64,50,0.0001,640,640
densenet121_drop_0p7_batch_16_dense_16,1,densenet121,0.7,16,16,50,0.0001,640,640
densenet121_drop_0p7_batch_16_dense_32,2,densenet121,0.7,16,32,50,0.0001,640,640
densenet121_drop_0p7_batch_16_dense_64,3,densenet121,0.7,16,64,50,0.0001,640,640
densenet121_drop_0p7_batch_32_dense_16,1,densenet121,0.7,32,16,50,0.0001,640,640
densenet121_drop_0p7_batch_32_dense_32,2,densenet121,0.7,32,32,50,0.0001,640,640
densenet121_drop_0p7_batch_32_dense_64,3,densenet121,0.7,32,64,50,0.0001,640,640
densenet121_drop_0p7_batch_64_dense_16,1,densenet121,0.7,64,16,50,0.0001,640,640
densenet121_drop_0p7_batch_64_dense_32,2,densenet121,0.7,64,32,50,0.0001,640,640
densenet121_drop_0p7_batch_64_dense_64,3,densenet121,0.7,64,64,50,0.0001,640,640
densenet121_drop_0p7_batch_128_dense_16,1,densenet121,0.7,128,16,50,0.0001,640,640
densenet121_drop_0p7_batch_128_dense_32,2,densenet121,0.7,128,32,50,0.0001,640,640
densenet121_drop_0p7_batch_128_dense_64,3,densenet121,0.7,128,64,50,0.0001,640,640
