split,source_image_id,filename,relative_path,representative_class_folder,class_folders,class_labels,label_count,label_bdc_bdr,label_caries,label_healthy_teeth,label_impacted_teeth
train,2,2.jpg,BDC-BDR/2.jpg,BDC-BDR,"[""BDC-BDR"", ""Caries"", ""Healthy Teeth"", ""Impacted teeth""]","[""Broken down crown/roots"", ""Caries"", ""Healthy teeth"", ""Impacted teeth""]",4,1,1,1,1
train,9,9.jpg,BDC-BDR/9.jpg,BDC-BDR,"[""BDC-BDR"", ""Healthy Teeth""]","[""Broken down crown/roots"", ""Healthy teeth""]",2,1,0,1,0
train,10,10.jpg,Caries/10.jpg,Caries,"[""Caries"", ""Healthy Teeth"", ""Impacted teeth""]","[""Caries"", ""Healthy teeth"", ""Impacted teeth""]",3,0,1,1,1
train,11,11.jpg,BDC-BDR/11.jpg,BDC-BDR,"[""BDC-BDR"", ""Caries"", ""Healthy Teeth""]","[""Broken down crown/roots"", ""Caries"", ""Healthy teeth""]",3,1,1,1,0
train,14,14.jpg,Healthy Teeth/14.jpg,Healthy Teeth,"[""Healthy Teeth""]","[""Healthy teeth""]",1,0,0,1,0
train,19,19.jpg,BDC-BDR/19.jpg,BDC-BDR,"[""BDC-BDR"", ""Caries"", ""Healthy Teeth""]","[""Broken down crown/roots"", ""Caries"", ""Healthy teeth""]",3,1,1,1,0
train,21,21.jpg,BDC-BDR/21.jpg,BDC-BDR,"[""BDC-BDR"", ""Caries"", ""Healthy Teeth""]","[""Broken down crown/roots"", ""Caries"", ""Healthy teeth""]",3,1,1,1,0
train,22,22.jpg,Caries/22.jpg,Caries,"[""Caries"", ""Healthy Teeth""]","[""Caries"", ""Healthy teeth""]",2,0,1,1,0
train,23,23.jpg,Caries/23.jpg,Caries,"[""Caries"", ""Healthy Teeth"", ""Impacted teeth""]","[""Caries"", ""Healthy teeth"", ""Impacted teeth""]",3,0,1,1,1
train,25,25.jpg,Caries/25.jpg,Caries,"[""Caries"", ""Healthy Teeth"", ""Impacted teeth""]","[""Caries"", ""Healthy teeth"", ""Impacted teeth""]",3,0,1,1,1
train,26,26.jpg,BDC-BDR/26.jpg,BDC-BDR,"[""BDC-BDR"", ""Caries"", ""Healthy Teeth""]","[""Broken down crown/roots"", ""Caries"", ""Healthy teeth""]",3,1,1,1,0
