split,class_folder,class_label,class_index,filename,relative_path
train,BDC-BDR,Broken down crown/roots,0,101.jpg,BDC-BDR\101.jpg
train,BDC-BDR,Broken down crown/roots,0,106.jpg,BDC-BDR\106.jpg
train,BDC-BDR,Broken down crown/roots,0,107.jpg,BDC-BDR\107.jpg
train,BDC-BDR,Broken down crown/roots,0,110.jpg,BDC-BDR\110.jpg
train,BDC-BDR,Broken down crown/roots,0,114.jpg,BDC-BDR\114.jpg
train,BDC-BDR,Broken down crown/roots,0,119.jpg,BDC-BDR\119.jpg
train,BDC-BDR,Broken down crown/roots,0,120.jpg,BDC-BDR\120.jpg
train,BDC-BDR,Broken down crown/roots,0,131.jpg,BDC-BDR\131.jpg
train,BDC-BDR,Broken down crown/roots,0,133.jpg,BDC-BDR\133.jpg
train,BDC-BDR,Broken down crown/roots,0,139.jpg,BDC-BDR\139.jpg
train,BDC-BDR,Broken down crown/roots,0,149.jpg,BDC-BDR\149.jpg
train,BDC-BDR,Broken down crown/roots,0,151.jpg,BDC-BDR\151.jpg
train,BDC-BDR,Broken down crown/roots,0,152.jpg,BDC-BDR\152.jpg
train,BDC-BDR,Broken down crown/roots,0,157.jpg,BDC-BDR\157.jpg
train,BDC-BDR,Broken down crown/roots,0,177.jpg,BDC-BDR\177.jpg
train,BDC-BDR,Broken down crown/roots,0,207.jpg,BDC-BDR\207.jpg
train,BDC-BDR,Broken down crown/roots,0,215.jpg,BDC-BDR\215.jpg
train,BDC-BDR,Broken down crown/roots,0,228.jpg,BDC-BDR\228.jpg
train,BDC-BDR,Broken down crown/roots,0,26.jpg,BDC-BDR\26.jpg
train,BDC-BDR,Broken down crown/roots,0,30.jpg,BDC-BDR\30.jpg
train,BDC-BDR,Broken down crown/roots,0,39.jpg,BDC-BDR\39.jpg
train,BDC-BDR,Broken down crown/roots,0,51.jpg,BDC-BDR\51.jpg
train,BDC-BDR,Broken down crown/roots,0,54.jpg,BDC-BDR\54.jpg
train,BDC-BDR,Broken down crown/roots,0,6.jpg,BDC-BDR\6.jpg
train,BDC-BDR,Broken down crown/roots,0,68.jpg,BDC-BDR\68.jpg
train,BDC-BDR,Broken down crown/roots,0,73.jpg,BDC-BDR\73.jpg
train,BDC-BDR,Broken down crown/roots,0,85.jpg,BDC-BDR\85.jpg
train,BDC-BDR,Broken down crown/roots,0,9.jpg,BDC-BDR\9.jpg
train,BDC-BDR,Broken down crown/roots,0,91.jpg,BDC-BDR\91.jpg
train,BDC-BDR,Broken down crown/roots,0,92.jpg,BDC-BDR\92.jpg
train,BDC-BDR,Broken down crown/roots,0,94.jpg,BDC-BDR\94.jpg
train,Caries,Caries,1,103.jpg,Caries\103.jpg
train,Caries,Caries,1,104.jpg,Caries\104.jpg
train,Caries,Caries,1,11.jpg,Caries\11.jpg
train,Caries,Caries,1,110.jpg,Caries\110.jpg
train,Caries,Caries,1,111.jpg,Caries\111.jpg
train,Caries,Caries,1,112.jpg,Caries\112.jpg
train,Caries,Caries,1,115.jpg,Caries\115.jpg
train,Caries,Caries,1,116.jpg,Caries\116.jpg
train,Caries,Caries,1,118.jpg,Caries\118.jpg
train,Caries,Caries,1,119.jpg,Caries\119.jpg
train,Caries,Caries,1,125.jpg,Caries\125.jpg
train,Caries,Caries,1,127.jpg,Caries\127.jpg
train,Caries,Caries,1,133.jpg,Caries\133.jpg
train,Caries,Caries,1,135.jpg,Caries\135.jpg
train,Caries,Caries,1,136.jpg,Caries\136.jpg
train,Caries,Caries,1,137.jpg,Caries\137.jpg
train,Caries,Caries,1,139.jpg,Caries\139.jpg
train,Caries,Caries,1,141.jpg,Caries\141.jpg
train,Caries,Caries,1,143.jpg,Caries\143.jpg
train,Caries,Caries,1,147.jpg,Caries\147.jpg
train,Caries,Caries,1,149.jpg,Caries\149.jpg
train,Caries,Caries,1,150.jpg,Caries\150.jpg
train,Caries,Caries,1,155.jpg,Caries\155.jpg
train,Caries,Caries,1,160.jpg,Caries\160.jpg
train,Caries,Caries,1,166.jpg,Caries\166.jpg
train,Caries,Caries,1,170.jpg,Caries\170.jpg
train,Caries,Caries,1,172.jpg,Caries\172.jpg
train,Caries,Caries,1,177.jpg,Caries\177.jpg
train,Caries,Caries,1,182.jpg,Caries\182.jpg
train,Caries,Caries,1,2.jpg,Caries\2.jpg
train,Caries,Caries,1,203.jpg,Caries\203.jpg
train,Caries,Caries,1,209.jpg,Caries\209.jpg
train,Caries,Caries,1,21.jpg,Caries\21.jpg
train,Caries,Caries,1,211.jpg,Caries\211.jpg
train,Caries,Caries,1,218.jpg,Caries\218.jpg
train,Caries,Caries,1,22.jpg,Caries\22.jpg
train,Caries,Caries,1,221.jpg,Caries\221.jpg
train,Caries,Caries,1,223.jpg,Caries\223.jpg
train,Caries,Caries,1,225.jpg,Caries\225.jpg
train,Caries,Caries,1,226.jpg,Caries\226.jpg
train,Caries,Caries,1,229.jpg,Caries\229.jpg
train,Caries,Caries,1,230.jpg,Caries\230.jpg
train,Caries,Caries,1,239.jpg,Caries\239.jpg
train,Caries,Caries,1,243.jpg,Caries\243.jpg
train,Caries,Caries,1,246.jpg,Caries\246.jpg
train,Caries,Caries,1,25.jpg,Caries\25.jpg
train,Caries,Caries,1,250.jpg,Caries\250.jpg
train,Caries,Caries,1,260.jpg,Caries\260.jpg
train,Caries,Caries,1,29.jpg,Caries\29.jpg
train,Caries,Caries,1,3.jpg,Caries\3.jpg
train,Caries,Caries,1,38.jpg,Caries\38.jpg
train,Caries,Caries,1,40.jpg,Caries\40.jpg
train,Caries,Caries,1,43.jpg,Caries\43.jpg
train,Caries,Caries,1,5.jpg,Caries\5.jpg
train,Caries,Caries,1,51.jpg,Caries\51.jpg
train,Caries,Caries,1,53.jpg,Caries\53.jpg
train,Caries,Caries,1,6.jpg,Caries\6.jpg
train,Caries,Caries,1,61.jpg,Caries\61.jpg
train,Caries,Caries,1,62.jpg,Caries\62.jpg
train,Caries,Caries,1,65.jpg,Caries\65.jpg
train,Caries,Caries,1,66.jpg,Caries\66.jpg
train,Caries,Caries,1,77.jpg,Caries\77.jpg
train,Caries,Caries,1,79.jpg,Caries\79.jpg
train,Caries,Caries,1,8.jpg,Caries\8.jpg
train,Caries,Caries,1,80.jpg,Caries\80.jpg
train,Caries,Caries,1,84.jpg,Caries\84.jpg
train,Caries,Caries,1,90.jpg,Caries\90.jpg
train,Caries,Caries,1,91.jpg,Caries\91.jpg
train,Caries,Caries,1,92.jpg,Caries\92.jpg
train,Caries,Caries,1,93.jpg,Caries\93.jpg
train,Caries,Caries,1,95.jpg,Caries\95.jpg
train,Healthy Teeth,Healthy teeth,2,1.jpg,Healthy Teeth\1.jpg
train,Healthy Teeth,Healthy teeth,2,10.jpg,Healthy Teeth\10.jpg
